Id,Expected
0,3
1,0
2,3
3,2
4,0
5,3
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,3
19,0
20,2
21,0
22,1
23,0
24,0
25,0
26,3
27,0
28,1
29,3
30,0
31,2
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,3
40,3
41,1
42,3
43,0
44,0
45,0
46,1
47,0
48,0
49,2
50,1
51,0
52,3
53,0
54,3
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,2
70,0
71,0
72,3
73,3
74,0
75,0
76,0
77,0
78,1
79,3
80,0
81,1
82,2
83,3
84,1
85,0
86,3
87,0
88,1
89,1
90,0
91,2
92,0
93,1
94,1
95,3
96,0
97,1
98,3
99,1
100,0
101,1
102,0
103,0
104,0
105,3
106,1
107,1
108,0
109,0
110,1
111,2
112,0
113,3
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,3
126,0
127,3
128,1
129,0
130,1
131,2
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,3
140,0
141,1
142,1
143,3
144,0
145,0
146,0
147,0
148,3
149,1
150,0
151,0
152,0
153,0
154,3
155,3
156,1
157,1
158,0
159,0
160,3
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,3
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,2
184,1
185,2
186,0
187,0
188,0
189,0
190,0
191,3
192,3
193,0
194,0
195,1
196,3
197,0
198,0
199,0
200,1
201,3
202,1
203,0
204,2
205,1
206,1
207,0
208,2
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,3
228,0
229,1
230,0
231,3
232,0
233,0
234,1
235,0
236,3
237,0
238,3
239,3
240,3
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,3
250,0
251,0
252,2
253,1
254,0
255,1
256,0
257,3
258,1
259,0
260,1
261,0
262,1
263,3
264,1
265,0
266,0
267,2
268,1
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,2
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,3
296,3
297,1
298,3
299,0
